number,value,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda
70,0.5883032911564193,1669,12,0.008989011330967965,0.8130882916224496,0.8600126013572539,7,2.5276316747441754e-08,0.21370081495786286,1.0313312422074995e-08
71,0.5870084135768823,1684,12,0.008672454956018174,0.8218199413045515,0.9005378976026803,7,2.8205517513680473e-08,0.20313809523071605,1.0453122318159144e-08
72,0.586309114332433,1562,12,0.022967206300202724,0.8646910713541998,0.9096015235555747,7,2.6599110222270946e-07,0.23249935020337612,2.2320087582731373e-08
73,0.5981176619088465,1775,12,0.004560658157397454,0.8913723088692271,0.8919150772955463,7,1.6662832791602349e-07,0.15332236976807434,2.1653016909944368e-08
74,0.5871523063666693,1908,12,0.02366964208861966,0.8375023391004338,0.8902231011206657,7,5.532888294310903e-08,0.01883904156094727,3.092016573900231e-08
75,0.5875728814136341,1578,12,0.008551286312817352,0.7734502499255252,0.910034031395362,7,1.5220459883595676e-06,0.07898822366512474,8.776000666038791e-08
76,0.5850419617833912,1558,12,0.01467384419580148,0.8598834230584332,0.8363015415782512,7,3.313958283049941e-07,0.3048500167945845,1.473825893955257e-08
77,0.5866732348309879,1558,12,0.018478702118470785,0.8562212196674992,0.8347376544790294,7,3.716881251565769e-07,0.310749905801219,1.6864320735561602e-08
78,0.585238872850384,1788,12,0.01466373235132459,0.8682153215967732,0.8328688607440059,7,3.323188063527562e-07,0.30393964738427953,1.6526678737946048e-07
79,0.5880291059833069,1792,12,0.011848915077551326,0.8865268849616651,0.7907135454850379,7,9.715707872499918e-08,0.5736570576998036,1.739343248567387e-07
80,0.5836366998095232,1739,12,0.014389329576796917,0.9490334558658569,0.8621979769538803,7,2.5903710595451122e-06,0.08351938325144921,1.0949110317590791e-07
81,0.593234910645316,1724,12,0.00606504772085858,0.9372658376432308,0.8646811199191043,7,2.4857945695221057e-06,0.07676404553330148,1.1840874051566205e-07
82,0.5848317515927468,1876,12,0.0142182914721151,0.9257323830958136,0.820822041394702,7,1.0799366390386574e-06,0.29640325221414643,3.994836792836101e-08
83,0.587353198261001,1876,12,0.010506505971560757,0.9147200406224937,0.8070538621845513,7,2.462398933950719e-07,0.30387699708126586,8.723693662495218e-08
84,0.6021952027390409,1967,11,0.004689379762533749,0.952543631329967,0.8510686208646228,7,9.344134953471069e-07,0.6531151014405471,4.361936351463812e-08
85,0.5882290673020696,1847,12,0.015023919066760283,0.871026029007936,0.7696794037905065,7,9.410781229888569e-07,0.0586433704600582,1.5863926461263407e-08
86,0.5856670372494721,1781,11,0.013612403882583515,0.9178227867881856,0.8233748264377503,7,2.055258983372495e-06,0.33442130585304275,1.8325506703048433e-07
87,0.5859567307535231,1773,11,0.01352145165887624,0.9122013642303883,0.8121084231279808,7,3.0039150245724156e-06,0.9642396669869157,2.243087233393985e-07
88,0.5850981231693753,1790,11,0.01355687147243373,0.9186583953019081,0.819918105248513,7,3.616742871236944e-06,0.673487178765193,2.177772813291352e-07
89,0.5955877474769348,1912,11,0.006879736466118651,0.9591839557675131,0.8299827805281753,6,3.9436921222596936e-06,0.31329842533176605,1.082158860981666e-07
90,0.5925434641069611,1812,11,0.0076514149291508045,0.925818110593369,0.8234065367324969,7,1.413808673942061e-06,0.044366777595560875,1.5914662687843511e-07
91,0.5869096571967498,1776,11,0.012480440933223936,0.9047276055455885,0.7962260495770453,7,2.1249211902338156e-06,0.6042371988752356,2.5223643885969295e-07
92,0.58795961002669,1737,11,0.014204424594598336,0.8854668247512556,0.8431453180730407,7,4.319147852052308e-06,0.9270464247255091,7.147890551524027e-08
93,0.5890226443566601,1857,11,0.032558217604512434,0.9241015556600556,0.853956141240896,7,1.3170222792473546e-07,0.3764418403506554,4.060279141706747e-08
94,0.585740778886046,1785,12,0.013229379408700571,0.9547075687448798,0.8122001679104407,7,1.9115571548121757e-06,0.08789924490799983,4.4659018997977924e-07
95,0.5998292192730302,1955,12,0.005566530446429962,0.9435642534780242,0.7502122708354675,6,8.531889731046354e-07,0.02577780440346154,1.395965597111024e-07
96,0.5847244384175232,1890,12,0.009836854303595835,0.9851553921968387,0.8727674667894552,7,1.8843282743363587e-06,0.09521167318681689,4.920782944622287e-07
97,0.587481520365396,1901,12,0.010275128323093113,0.9827689685257899,0.8026731501478558,7,1.4388207116571783e-06,0.08058490051057789,4.4847278620194217e-07
98,0.5873067186538392,1993,12,0.016650511289520078,0.9683741760621527,0.7850792725164129,6,1.951920331995916e-06,2.235704753681089e-08,1.7248584430098511e-06
99,0.5853349395381334,1801,12,0.01022466075794771,0.9901676752846762,0.8190068334230516,7,3.4641533484938723e-06,0.017516629747226495,4.744528281356505e-08
