colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mean_rmse,std_rmse
0.7,0.01,9,1,1000,0.8,0.7854890306380815,0.04160198782161558
0.7,0.01,9,1,1000,0.9,0.7845429364478875,0.040396813709423204
0.7,0.01,9,1,1500,0.7,0.774799140996212,0.03968570697438024
0.7,0.01,9,1,1500,0.8,0.7761201577776722,0.039066705235976565
0.7,0.01,9,1,1500,0.9,0.7747956420443203,0.04083977507957188
0.7,0.01,9,3,500,0.7,0.7950773466883,0.06792291519719872
0.7,0.01,9,3,500,0.8,0.7965035376896429,0.06859800721785962
0.7,0.01,9,3,500,0.9,0.7982097793085516,0.06737970100569811
0.7,0.01,9,3,1000,0.7,0.7800317461484451,0.038490094036166586
0.7,0.01,9,3,1000,0.8,0.7825998346418331,0.040021716505098295
0.7,0.01,9,3,1000,0.9,0.7841358924247404,0.03947460795508417
0.7,0.01,9,3,1500,0.7,0.7720490195457489,0.04077164256343596
0.7,0.01,9,3,1500,0.8,0.7751308661982879,0.03944952967954839
0.7,0.01,9,3,1500,0.9,0.7756598319544945,0.040369468144047044
0.7,0.01,9,5,500,0.7,0.7939758834828331,0.06897203320885434
0.7,0.01,9,5,500,0.8,0.7966881871478828,0.06924423601526891
0.7,0.01,9,5,500,0.9,0.7974562321131649,0.0665110696688235
0.7,0.01,9,5,1000,0.7,0.7831713859630522,0.04060200362650785
0.7,0.01,9,5,1000,0.8,0.7827683034198035,0.03988204629604658
0.7,0.01,9,5,1000,0.9,0.7855240591359899,0.03987442976229674
0.7,0.01,9,5,1500,0.7,0.7749599484034889,0.039551193785454214
0.7,0.01,9,5,1500,0.8,0.7738777974145223,0.03948385347604305
0.7,0.01,9,5,1500,0.9,0.7759188348487625,0.041133743162166926
0.7,0.05,5,1,500,0.7,0.7934415800619881,0.04984919154451331
0.7,0.05,5,1,500,0.8,0.792041839203564,0.04678564593549172
0.7,0.05,5,1,500,0.9,0.7957386238489331,0.055453135395277915
0.7,0.05,5,1,1000,0.7,0.7806559289916551,0.02788444304957853
0.7,0.05,5,1,1000,0.8,0.7841541637580173,0.036410311343491014
0.7,0.05,5,1,1000,0.9,0.7869518505694876,0.032869738105548905
0.7,0.05,5,1,1500,0.7,0.7759656138258766,0.03398162809839908
0.7,0.05,5,1,1500,0.8,0.7761537721403601,0.039034314730215854
0.7,0.05,5,1,1500,0.9,0.7817911194678226,0.03310974744913303
0.7,0.05,5,3,500,0.7,0.7953285153940992,0.05235849291106295
0.7,0.05,5,3,500,0.8,0.794686740250656,0.05227685789504626
0.7,0.05,5,3,500,0.9,0.7897379102204664,0.04484820256364794
0.7,0.05,5,3,1000,0.7,0.7852345132860844,0.03469139694297863
0.7,0.05,5,3,1000,0.8,0.7794499164605476,0.030527453014798235
0.7,0.05,5,3,1000,0.9,0.7830022811223255,0.03187276496518837
0.7,0.05,5,3,1500,0.7,0.7774359842267413,0.03544808546947795
0.7,0.05,5,3,1500,0.8,0.7754331721490476,0.034437640550780774
0.7,0.05,5,3,1500,0.9,0.7782145152298218,0.03716673449287891
0.7,0.05,5,5,500,0.7,0.7994259021599437,0.05922837845430681
0.7,0.05,5,5,500,0.8,0.7995604547753157,0.05302045394727992
0.7,0.05,5,5,500,0.9,0.7905683220793898,0.05165977224719537
0.7,0.05,5,5,1000,0.7,0.7867417285659736,0.03440266376639299
0.7,0.05,5,5,1000,0.8,0.785368552022466,0.03322573510424053
0.7,0.05,5,5,1000,0.9,0.7855361347251401,0.033407267486009126
0.7,0.05,5,5,1500,0.7,0.7792961598970957,0.03577497423004251
0.7,0.05,5,5,1500,0.8,0.7768123071680086,0.03670975378704478
0.7,0.05,5,5,1500,0.9,0.7788937626208673,0.034904322420655685
0.7,0.05,7,1,500,0.7,0.7863862949797051,0.034662704113979495
0.7,0.05,7,1,500,0.8,0.7863122141887511,0.037562100162828224
0.7,0.05,7,1,500,0.9,0.7917209109824789,0.03613698904926298
0.7,0.05,7,1,1000,0.7,0.7765123753246559,0.050706198038963375
0.7,0.05,7,1,1000,0.8,0.7765467246329727,0.04824203117615635
0.7,0.05,7,1,1000,0.9,0.7801160226136323,0.04517534635961882
0.7,0.05,7,1,1500,0.7,0.774369062627956,0.055867150071298395
0.7,0.05,7,1,1500,0.8,0.7739988699810889,0.05334954106534493
0.7,0.05,7,1,1500,0.9,0.7747544314723148,0.05302658188388066
0.7,0.05,7,3,500,0.7,0.7802016516813582,0.0353792449122523
0.7,0.05,7,3,500,0.8,0.7813398399613884,0.03637924964262249
0.7,0.05,7,3,500,0.9,0.7883598656546137,0.033457156870248014
0.7,0.05,7,3,1000,0.7,0.7685458160372521,0.051911952382770125
0.7,0.05,7,3,1000,0.8,0.7738912662194034,0.04795130696825791
0.7,0.05,7,3,1000,0.9,0.7770736217569645,0.048202036460457905
0.7,0.05,7,3,1500,0.7,0.7657131130211938,0.058732988011070235
0.7,0.05,7,3,1500,0.8,0.7719372248789155,0.05468164521403829
0.7,0.05,7,3,1500,0.9,0.7727632296127109,0.0559424926270804
0.7,0.05,7,5,500,0.7,0.780619120766423,0.03489436051315583
0.7,0.05,7,5,500,0.8,0.7881624483117465,0.038686927481200915
0.7,0.05,7,5,500,0.9,0.7918008293946667,0.037133870663024655
0.7,0.05,7,5,1000,0.7,0.7699734537827646,0.05144037625537735
0.7,0.05,7,5,1000,0.8,0.7802467189101004,0.046630891232757536
0.7,0.05,7,5,1000,0.9,0.781886607120166,0.04815078428540376
0.7,0.05,7,5,1500,0.7,0.7669686508068772,0.05788133277249752
0.7,0.05,7,5,1500,0.8,0.7761256161856754,0.05335249987616711
0.7,0.05,7,5,1500,0.9,0.7777475785675555,0.055605621935783056
0.7,0.05,9,1,500,0.7,0.7803404494512609,0.05041810723871593
0.7,0.05,9,1,500,0.8,0.7816802816975594,0.0506187689767506
0.7,0.05,9,1,500,0.9,0.7840586045194685,0.048393434262820494
0.7,0.05,9,1,1000,0.7,0.7765228885219247,0.05997926008178795
0.7,0.05,9,1,1000,0.8,0.7780907039517496,0.058993031553054034
0.7,0.05,9,1,1000,0.9,0.7810126808739711,0.05356905250722964
0.7,0.05,9,1,1500,0.7,0.7762758878503668,0.06132779403548729
0.7,0.05,9,1,1500,0.8,0.7780010445275268,0.06087635132651781
0.7,0.05,9,1,1500,0.9,0.7806689323025614,0.05482202688119357
0.7,0.05,9,3,500,0.7,0.7782910991480293,0.05182529674536599
0.7,0.05,9,3,500,0.8,0.7800134782192429,0.05261084648100715
0.7,0.05,9,3,500,0.9,0.7858640435321365,0.04788537024698808
0.7,0.05,9,3,1000,0.7,0.7723001944508063,0.06183333399666235
0.7,0.05,9,3,1000,0.8,0.7761303299031793,0.06189032307499482
0.7,0.05,9,3,1000,0.9,0.7816672190965281,0.05529759749926022
0.7,0.05,9,3,1500,0.7,0.7724011593298378,0.06297401784641075
0.7,0.05,9,3,1500,0.8,0.7765014133822026,0.06427812549619
0.7,0.05,9,3,1500,0.9,0.7819939985967345,0.05662533726413123
0.7,0.05,9,5,500,0.7,0.7760368506659864,0.05298489662050134
0.7,0.05,9,5,500,0.8,0.7833702111163706,0.04805343251325723
0.7,0.05,9,5,500,0.9,0.7809911926488396,0.05460283241943523
0.7,0.05,9,5,1000,0.7,0.7728085068223864,0.060861495735210894
0.7,0.05,9,5,1000,0.8,0.7792709375522504,0.05787014899704862
0.7,0.05,9,5,1000,0.9,0.7771272950476069,0.06474179544412739
0.7,0.05,9,5,1500,0.7,0.7730109345683298,0.06270806516812699
0.7,0.05,9,5,1500,0.8,0.7792486867514606,0.06028418830423659
0.7,0.05,9,5,1500,0.9,0.7771682314883142,0.06655587538218316
0.7,0.1,5,1,500,0.7,0.7874245024532581,0.043457517574727364
0.7,0.1,5,1,500,0.8,0.7907681397357857,0.03804424042577642
0.7,0.1,5,1,500,0.9,0.7902173541325368,0.03458563515789834
0.7,0.1,5,1,1000,0.7,0.7696921559509086,0.04346354097122652
